M_ID,Start_date,End_date,Start Date<End Date
31,05-11-1979,16-05-1983,Valid
495,26-09-2014,11-04-2034,Valid
795,23-10-1983,13-07-2002,Valid
33,06-06-1994,01-06-2012,Valid
882,02-06-2001,26-07-2014,Valid
657,20-06-1986,22-07-2006,Valid
761,11-03-1974,27-10-1980,Valid
20,24-11-1971,24-11-1984,Valid
356,31-05-2009,02-10-2014,Valid
301,24-03-2018,29-12-2035,Valid
450,07-09-1973,08-01-1983,Valid
782,27-09-2001,25-10-2014,Valid
820,29-04-2012,11-09-2024,Valid
316,02-06-1982,10-12-1987,Valid
945,10-08-1975,22-05-1991,Valid
174,14-09-2014,22-10-2019,Valid
634,18-05-2004,11-09-2016,Valid
456,30-12-2015,21-12-2033,Valid
0,30-12-2015,14-09-2020,Valid
186,23-10-1983,17-05-1994,Valid
596,30-12-2014,10-06-2031,Valid
245,03-01-1995,14-09-2000,Valid
17,05-08-1979,03-08-1996,Valid
48,11-06-2003,16-03-2010,Valid
457,06-06-1974,09-10-1976,Valid
944,13-09-1994,20-04-2007,Valid
516,11-07-2003,01-04-2010,Valid
847,28-05-1992,22-01-2001,Valid
504,16-11-1979,14-11-1988,Valid
115,16-06-2010,01-10-2012,Valid
740,13-09-1971,25-06-1973,Valid
884,02-07-1995,05-09-2013,Valid
446,11-01-1998,06-07-2016,Valid
74,06-09-1982,11-08-2001,Valid
636,09-05-1999,01-06-2005,Valid
37,17-09-2004,03-06-2024,Valid
804,24-08-1997,07-07-2010,Valid
694,03-06-2003,08-05-2014,Valid
198,07-05-1998,29-12-2016,Valid
576,04-01-1976,15-09-1985,Valid
754,14-05-2010,18-11-2027,Valid
547,19-08-2006,03-01-2022,Valid
656,12-06-1983,24-11-2001,Valid
654,12-05-1998,17-09-2007,Valid
646,15-03-2013,05-06-2024,Valid
250,17-04-2014,30-06-2022,Valid
81,29-03-1971,28-03-1983,Valid
898,16-11-1979,05-06-1983,Valid
461,10-07-2017,24-11-2033,Valid
390,06-09-2007,25-12-2021,Valid
988,25-09-1984,17-07-1986,Valid
597,05-08-1979,20-11-1990,Valid
916,31-05-2009,04-11-2021,Valid
135,13-12-1982,30-03-1996,Valid
262,01-05-2010,07-11-2020,Valid
844,24-11-1985,04-09-1987,Valid
169,30-07-1976,27-05-1995,Valid
671,03-06-2003,02-11-2009,Valid
353,03-10-1988,11-03-2008,Valid
776,03-05-2017,18-01-2021,Valid
205,10-11-1992,30-07-2001,Valid
705,06-12-2005,07-05-2021,Valid
10,03-01-1995,03-10-2000,Valid
195,05-12-2011,27-07-2012,Valid
136,28-08-1977,09-09-1996,Valid
500,14-05-2010,04-08-2012,Valid
969,11-11-1981,09-03-2000,Valid
817,23-09-2002,25-03-2006,Valid
833,13-09-1994,29-04-2010,Valid
221,31-12-1982,09-08-1985,Valid
77,18-11-1996,22-04-2016,Valid
800,30-11-1989,14-06-2009,Valid
146,28-03-2000,12-10-2006,Valid
531,26-11-2009,17-11-2027,Valid
503,06-08-1998,22-10-2014,Valid
19,17-12-2010,03-01-2021,Valid
897,07-05-1998,02-04-1999,Valid
703,29-01-1986,03-01-1987,Valid
249,16-08-2001,08-05-2002,Valid
360,15-09-1979,30-06-1994,Valid
327,13-08-2017,14-01-2027,Valid
121,15-09-2012,22-08-2015,Valid
614,29-01-1986,08-04-1989,Valid
80,25-03-2005,29-09-2023,Valid
401,15-01-2001,29-12-2006,Valid
914,17-11-1985,08-11-1998,Valid
713,04-11-1976,14-12-1990,Valid
568,07-06-1990,23-04-2001,Valid
752,23-05-2014,05-10-2016,Valid
867,14-08-2008,07-11-2024,Valid
980,26-09-2002,20-06-2016,Valid
704,25-11-2013,10-10-2029,Valid
598,20-06-1986,17-04-1996,Valid
932,08-04-1985,16-01-1993,Valid
834,25-05-1997,27-06-2016,Valid
209,18-11-1981,21-12-1993,Valid
